ADVANTIS;PC14 - 10670;RACK HORIZONTAL SALAS VIDEOCONFERENCIA;2
YEALIMK;CDW90;BASE MICRO INALAMBRICO;1
YEALINK;A40;BARRA;3
YEALINK;MEETING BAR A30;BARRA DE VIDEO;1
YEALINK;A20-010;BARRA VIDEOCONFERENCIA;1
YEALINK;A40;BARRA VIDEOCONFERENCIA;8
YEALINK;MEETINGBAR A30;BARRA VIDEOCONFERENCIA USB;1
YEALINK;A40-010;CAMARA;2
YEALINK;UVC85;CAMARA;1
YEALINK;VCH51;CONVERSOR HDMI USBC;1
YEALINK;VCH51;EXTENSOR;8
YEALINK;MVC;EXTENSOR BYOD;1
YEALINK;CP50;MICROFONO;1
YEALINK;CPE40;MICROFONO;1
YEALINK;VCM35;MICROFONO;13
YEALINK;CPE40;MICROFONO/ALTAVOZ;3
YEALINK;CPE50;MICROFONO/ALTAVOZ;1
YEALINK;WPP3D;PRESENTATION PDD;1
YEALINK;A20-010;VIDEOCONFERENCIA;7
YEALINK;MEETING BAR A40;VIDEOCONFERENCIA;1
YEALINK;UVC85;VIDEOCONFERENCIA;1
